,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08
NeneClap,22672,46118,63376,92965,110755,124758,143862,160535,180045,214984,228273,241834,260280,272965,299763,311676,323306,334713,350536,374183
PolkaNod,9143,19322,24261,31104,37427,41097,46391,50614,55892,65384,68987,72988,76827,80170,86830,89458,92332,95846,100861,106125
MioSway,7613,12516,17763,24358,29561,33616,39076,43167,49085,57470,60314,63637,66043,68154,72771,74841,77437,79589,83290,87421
OgaCheer,3645,6982,7889,8562,8901,9141,9569,9726,9926,10960,11156,11436,11899,12031,12210,12286,12397,12521,12604,12655
AmeliaBeeJam,3626,7307,10148,12925,15939,17942,21732,25279,28579,34028,36448,38346,40371,42345,44946,46390,47501,49083,52205,56011
AyameLightsticks,1791,3282,3680,5349,5908,6506,7224,7455,7773,9521,9699,10074,10833,11061,12446,12778,12879,12999,13405,13994
MarineKneel,1751,3140,4504,13045,15903,19377,22242,25540,31794,42000,47219,51393,57749,60797,74493,76877,79787,82903,87481,93282
LaplusBurn,1454,3207,3952,5209,6067,7018,8129,8987,10108,11916,13140,13536,14814,15973,19901,21216,22241,23278,24788,28179
AyameDespairLoop,869,1557,2395,3423,4257,4859,5619,6672,7313,8355,8659,8970,9281,9593,10291,10546,10728,11085,11448,12789
CalliWOOO,780,1451,1965,3569,4466,5008,6103,6951,7560,8638,8852,9066,9371,9801,10569,10827,11069,11450,11710,12152
IofiUWOOOHH,748,1815,2842,4422,5266,6013,6831,7587,8385,10262,10739,11197,11727,12225,12911,13353,13680,14146,14559,14938
FaunaUUUUUUUU,524,1336,2473,3816,4656,5328,6740,7688,8650,9194,9341,9768,10022,10492,11768,12330,12555,13262,13958,14879
KanataSpin,473,567,662,1039,1353,1543,1673,1729,1802,1975,2011,2290,2343,2379,2633,2699,2800,2829,2880,3030
KoyoriExplaining,458,751,983,1467,1803,2153,2531,2716,2879,3197,3380,3637,3818,3938,4557,4787,4932,5051,5326,5632
FubukiYabe,403,817,1181,1441,1713,1935,2229,2431,2677,3100,3224,3400,3544,3703,3891,4014,4162,4308,4461,4569
TakeYourPills,368,650,869,998,1112,1169,1218,1272,1296,1340,1361,1384,1395,1416,1439,1460,1469,,,
